campaign_id,channel,campaign_name,start_date,end_date,spend,impressions,clicks,conversions,revenue
C001,Email,Welcome Series Q1,2024-01-04,2024-01-30,6449.3,289559,10892,356,70615.11
C002,Email,Welcome Series Q2,2024-04-02,2024-06-03,4531.53,183961,7339,353,56029.13
C003,Email,Welcome Series Q3,2024-07-05,2024-09-13,5899.31,300267,11995,616,124538.81
C004,Email,Welcome Series Q4,2024-09-27,2024-12-09,6834.92,368831,16006,556,116968.68
C005,Email,Spring Sale Q1,2024-01-11,2024-02-11,2556.48,107204,6218,323,65260.73
C006,Email,Spring Sale Q2,2024-04-14,2024-06-12,2748.96,160665,5762,230,44192.09
C007,Email,Spring Sale Q3,2024-07-10,2024-09-09,3153.73,130536,6871,401,84983.85
C008,Email,Spring Sale Q4,2024-10-04,2024-12-23,2606.01,118728,6162,263,46760.1
C009,Email,Loyalty Reward Q1,2024-01-07,2024-03-14,3601.87,211548,11056,577,96213.71
C010,Email,Loyalty Reward Q2,2024-04-07,2024-05-12,4773.56,216714,13057,721,122165.26
C011,Email,Loyalty Reward Q3,2024-07-09,2024-09-25,6609.88,271790,15564,929,166769.11
C012,Email,Loyalty Reward Q4,2024-09-29,2024-11-06,7478.82,383989,20841,770,142417.15
C013,Email,Cart Abandonment Q1,2024-01-15,2024-02-18,3589.28,161275,8026,312,59184.69
C014,Email,Cart Abandonment Q2,2024-04-12,2024-05-30,3315.92,198791,9596,309,49398.27
C015,Email,Cart Abandonment Q3,2024-07-02,2024-08-05,5764.68,321908,14729,460,82077.74
C016,Email,Cart Abandonment Q4,2024-10-11,2024-12-08,3508.48,179158,10882,597,97673.75
C017,Email,Re-engagement Q1,2024-01-09,2024-03-23,5845.77,246872,11386,526,110558.25
C018,Email,Re-engagement Q2,2024-04-08,2024-06-04,6571.77,329598,12084,638,130128.17
C019,Email,Re-engagement Q3,2024-07-05,2024-08-08,4243.48,183449,11201,719,149714.77
C020,Email,Re-engagement Q4,2024-10-07,2024-12-02,2116.86,124009,7305,443,77222.45
C021,Email,Summer Blast Q1,2024-01-02,2024-02-11,7268.06,428372,15450,733,118079.92
C022,Email,Summer Blast Q2,2024-04-04,2024-05-07,5958.5,351175,13469,660,126004.54
C023,Email,Summer Blast Q3,2024-07-05,2024-09-27,5235.78,285866,11261,459,97528.68
C024,Email,Summer Blast Q4,2024-10-08,2024-11-30,7397.68,362706,14776,461,73030.42
C025,Email,Flash Sale Q1,2024-01-08,2024-03-10,3321.3,137567,7122,267,55402.72
C026,Email,Flash Sale Q2,2024-04-10,2024-05-09,5084.94,231718,11025,545,107580.86
